"Population","Site","lat","lon","state","n"
"VA2","Deep_Bottom",37.407349,-77.305381,"VA",20
"VA1","Fort_AP_Hill",38.15452,-77.32426,"VA",20
"VA3","Great_Dismal_Swamp",36.631408,-76.490525,"VA",13
"NC1","Holt_Lake",35.469092,-78.403068,"NC",9
"SC1","Francis_Beidler",33.220573,-80.354001,"SC",13
"OH1","Hoover_Reservoir",40.107202,-82.88641,"OH",21
"LA1","Palmetto_Island",29.86441,-92.150251,"LA",20
"LA2","Bluebonnet_Swamp",30.367822,-91.107121,"LA",20
"LA3","Barataria",29.783791,-90.115468,"LA",14
"AR1","White_River",34.358046,-91.090881,"AR",20
"WI1","Sugar_River",42.530128,-89.32875,"WI",8
"PN1","Panama_Viejo",9.006642,-79.484717,"PN",7
"PN2","Juan_Diaz",9.019719,-79.44465,"PN",17
"CO1","Cispata",9.39281,-75.78397,"CO",27
"CO2","Marimonda",8.56907,-76.81737,"CO",29
"CO3","Bocas_del_Atrato",8.08918,-76.836956,"CO",7
"CO4","Flamencos",11.42013,-73.10123,"CO",3
"FL1","St. George Island",29.674249,-85.179472,"FL",14
